Well,Platform,Sand Risk,"WHFP
(bars)",Date of last survey,Last sand level,Marker,Sand control,"ClampOn
Survey
Frequency",Delay survey (days),Next Survey Date,Velocity,SandProbe installation date,Choke Type,T-shape Installation,"EMS
(Erosion Monitoring system)",Gas Detector,"Change
choke
request",WELL STATUS,"Top Perfo Depth
(mSS)",Current Qgas (MMscfd),"DP Ratio (WHFP/ Flow Line Pressure), Barg",Max. Del. Pot. (MMscfd)
TN-AA236,GTSAA,Critical,0,24-Dec-23,Sand Free,Shallow,Filtrex,1 week,0,31-Dec-23,,25-Jan-21,Masterflo P3,YES,,,SI,SD_Close SDV incoming all wells due to GTS-T got SD-2 by ESD-1 Adjacent well#4 active.Visited 24/12/2023. Qgas from Nuflo.,1110,0,,
TN-AA237,GTS-AA,Critical,96,7-Jul-22,Sand Free,Shallow,SCON,1 week,0,14-Jul-22,,25-Jan-21,Masterflo P3,YES,,,SI,Sand_keep shut-in due to high sand produced after clean up. Visited 05/07/2023. NuFlo error.,1031,0,,
TN-AA238,GTSAA,Critical,83,27-Jun-23,Sand Free,Shallow,SCON SacTi,1 week,0,4-Jul-23,,25-Jan-21,Masterflo P3,YES,,,SI,SIBU_due to no flow. Visited 16/12/2023. Nuflo OK.'Replace internalchoke Masterflo P3E with Cv 45.,1059,0,,
TN-AA240,GTSAA,Critical,17,25-Dec-23,Sand Free,Shallow,PO Screen,1 week,0,1-Jan-24,,,Masterflo P3,YES,,,SI,SIBU_due to no flow. Visited  28/12/2023. Wellhead DBB & DBC are plugged (main line & bleed line). Barton chart was missing. CI pump stop due to empty. Nuflo Error. Qgas no reference.,807,0,,
TN-AA311,GTSAA,Critical,92,1-Apr-22,Sand Free,Shallow,SCON,1 week,0,8-Apr-22,,,,YES,,,SI,"SIBU_due to no flow, waiting for next program. Visited 12/11/2022. Performed Choke verification, result : Body choke good, Found Stem bonnet and pin Stuck. Sand = 90 cc, and found some gravel (suspect resin). Quickexhaust SSV wing n/a, takaen for AA312.",2057,0,,
TN-AA312,GTSAA,Critical,48,14-Nov-23,Sand Free,Shallow,SCON,1 week,0,21-Nov-23,,,,YES,,,SI,SIBU_due to no flow. Visited 16/11/2023. Nuflo OK.,1176,0,,
TN-AA322,GTSAA,Critical,0,10-Dec-23,Sand Free,Shallow,SCON SandTrap AB,1 week,0,17-Dec-23,,,,YES,,,SI,SIBU_due to no flow. Visited 22/12/2023. Nuflo OK. Qwater = 306 BWPD.,1326,0,,
TN-AA331,GTSAA,Critical,82,11-Jul-22,Sand Free,Shallow,SCON,1 week,0,18-Jul-22,,,,YES,,,SI,"SIBU_due to no flow. Visited 24/11/2022. NuFlo OK. WH choke Masterflo repaired due to stuck open, body & internal part in good condition and found sand 180 cc.",1525,0,,
TN-AA332,GTSAA,Critical,0,13-Feb-23,Sand Free,Shallow,SCON,1 week,0,20-Feb-23,,,,YES,,,SI,"SIBU_due to no flow. Visited 16/02/2023. OPW. PSV annulus set at 16 Barg. Sigma master problem, Tubing line ci from drum plugged. Nuflo OK.",1456,0,,
TN-AA342,,Critical,0,24-Dec-23,Sand Free,Shallow,HESS Screen,1 week,0,31-Dec-23,,29-May-21,Masterflo P3,YES,,,SI,SIBU_due to no flow. Visited 26/12/2023. Nuflo Display Error.,1744,0,,
TN-AA343,,Critical,82,6-Aug-23,Sand Free,Shallow,SCON,1 week,0,13-Aug-23,,29-May-21,,YES,,,SI,"SIBU_due to no flow. Visited 26/12/2023. Decrease set point of PSHH-39P13 to 25 Barg. Wellhead choke defect at nozzle, flow collar and Internal body choke.",1333,0,,
TN-AA351,GTSAA,Critical,0,22-May-23,Sand Free,Shallow,SCON,1 week,0,29-May-23,,,Masterflo P3,YES,,,SI,SIBU_due to no flow. Visited 23/05/2023. Nuflo OK.,1752,0,,
TN-AA352,GTSAA,Critical,10,19-Oct-23,Sand Free,Shallow,SCON,1 week,0,26-Oct-23,,,Masterflo P3,YES,,,SI,SIBU_keep shut-in after pigging for offload via testing barge. Qgas = 1.5 MMscfd.  Visited 07/12/2023. Nuflo OK.,1076,0,,
TN-AA353,GTSAA,Critical,0,2-Jun-23,Sand Free,Shallow,HESS Screen,1 week,0,9-Jun-23,,,Masterflo P3,YES,,,SI,SIBU_due to no flow. Visited 04/06/2023. Nuflo OK.,1127,0,,
TN-AA362,GTSAA,Critical,85.7,17-Feb-23,Sandy,Shallow,SCON,1 week,0,24-Feb-23,,,,YES,,,SI,Sand_keep shut in due to high sand production. Visited 24/04/2023. ( STRANDED AREA ),1503,0,,
TN-AA383,,Critical,0,9-Oct-23,Sand Free,Shallow,SCON SandTrap AB,1 week,0,16-Oct-23,,,,YES,,,SI,SIBU_due to no flow. Visited 11/10/2023. Nuflo OK.,939,0,,
TN-AA384,GTSAA,Critical,32,9-May-22,Sand Free,Shallow,SCON,1 week,0,16-May-22,,,,YES,,,SI,"Sand_Sand 70 m above perforation and no flow. Visited 23/12/2023. 6"" flowline is depressurized for lifting job at TN-AA387.",,0,,
TN-AA385,GTSAA,Critical,54,25-Jun-23,Sand Free,Shallow,HESS Screen,1 week,0,2-Jul-23,,,,YES,,,SI,"SIBU_No flow. Visited 23/12/2023. Nuflo OK. 6"" flowline is depressurized for lifting job at TN-AA387.",1303,0,,
TN-AA39,GTSAA,Critical,74,18-Jan-20,Sand Free,Shallow,"Wireline Screen, OH-SAS",1 week,0,25-Jan-20,0,16-Dec-14,Masterflo P3,YES,,,SI,"CANNOT POP (Corrosion issue at riser IGS line). IGS depressurized. SIBU_due to no flow. Fully shut in well. Visited 01/03/2023. Nuflo not accurate. Depressurize 8"" slot 39AA from TN-AA75 cluster to GTS prior lifting operation (S/D Dec 2022). Barton chart",1205,0,,0
TN-AA393,GTSS,Critical,0,8-Apr-23,Sand Free,Shallow,SCON SC3,1 week,0,15-Apr-23,,21-Jul-20,Masterflo P3,,,,SI,SIBU_due to no flow. Visited 29/09/2023. Nuflo Ok. Adjustable choke hard Operate. Cant access when low tide due to ladder broken. SSV wing quick exhaust at IS workshop.,705,0,,
TN-AA46,GTSAA,Critical,45,21-Jul-22,Sand Free,Shallow,OH-SAS,1 week,0,28-Jul-22,0,29-Sep-13,Cameron Plug & Cage CC30,YES, , ,SI,"SIBU_due to no flow. Visited 03/10/2023. Nuflo error. Depressurize flowline from WH to SDV outgoing due to thinning issue, completed. (ISC-000216).",809,0,,4.1
TN-AA48,GTSAA,Critical,0,5-Feb-23,Sand Free,Shallow,OH-SAS,1 week,0,12-Feb-23,0,23-Jun-14,Cameron Plug & Cage CC30,YES,,,SI,SIBU_due to no flow. Visited 02/09/2023. Nuflo not accurate.Chart recorder missing.,1220,0,,0
TN-AA49,GTSAA,Critical,97,29-Sep-20,Sand Free,Shallow,NO,1 week,0,6-Oct-20,0,15-Dec-13,JVS Retrovit,YES, , ,SI,"CANNOT POP (Corrosion issue at riser IGS line). IGS depressurized. SIBU_due to no flow. Visited 10/12/2023. Annulus A vacuum. CC replacement at well flowline is completed. Pressure test not done yet, due to No IGS. Depressurize 8"" slot 39AA from TN-AA75 c",780,0,,0
TN-AA54,GTSAA,Critical,74,26-May-23,Sand Free,Shallow,SCON,1 week,0,2-Jun-23,0,12-Oct-10,Vonk Non DV,YES, ,YES,SI,SIBU_due to no flow. Visited 10/08/2023. Auto choke open by manual hand wheel. Skoflo N/A.,908,0,,0.8
TN-AA74,GTSAA,Critical,60,12-Sep-22,Sand Free,Shallow,SCON aquaset,1 week,0,19-Sep-22,0,3-Jul-12,Cameron Plug & Cage CC40,YES, , ,SI,Sand_sand production Aquaset and no flow. Visited 1/10/2023. Request install Kenco at CI drum due to not available. Barton chart was missing.'Found leak at Flange connection SSV Wing to Instrument flange @pressure 60 BarG,772,0,,0
TN-AA88,GTSAA,Critical,90,29-Mar-20,Sand Free,Shallow,CH-Ceramic Screen,1 week,0,5-Apr-20,0,16-Dec-14,Vonk Non DV,YES,,,SI,"CANNOT POP (Corrosion issue at riser IGS line). IGS depressurized. Waiting for clean up. Visited 05/03/2023. NO INTERNAL VONK CHOKE. Annulus A vacum. Chart recorder missing. Depressurize 8"" slot 39AA from TN-AA75 cluster to GTS prior lifting operation (S/",1239,0,,0.6
TN-AA89,GTSAA,Critical,117,28-May-20,Sand Free,Shallow,OH-SAS,1 week,0,4-Jun-20,0,16-Dec-14,Cameron Plug & Cage CC30,YES,,,SI,"CANNOT POP (Corrosion issue at riser IGS line). IGS depressurized. SIBU_due to no flow. Visited 19/02/2022. Chart recorder missing. Depressurize 8"" slot 39AA from TN-AA75 cluster to GTS prior lifting operation (S/D Dec 2022).",1461,0,,0
TN-AA229,GTSAA,Critical,16,5-Sep-23,Sand Free,Shallow,SCON SacTi,1 week,0,12-Sep-23,,,,YES,,,SI,Well kept shut in due to no flow. Visited 27/11/2023. Nuflo OK.,699,0,,
TN-AA230,GTSAA,Critical,83.7,25-Mar-23,Sand Free,Shallow,HESS Screen,1 week,0,1-Apr-23,,,,YES,,,SI,"SIBU_due to no flow. Visited 29/03/2023. Nuflo OK. WH choke indicator loose & cannot full open/close 100%. Barton chart tubing 1/4"" for WHFP plugged.",,0,,
TN-AA650,GTSAA,Critical,0,15-May-23,Sandy,Shallow,SCON,1 week,0,22-May-23,,,,YES,,,SI,"Keep SI due to High sand produce. visited 13/11/2023. Nuflo OK. IG Regulator for CI Broken. Found wellhead choke leaking from bonnet flanges, inform PRO/SVC to tighten ( need scaffolding ). Keep shut-in waiting for WLI next program.",1688,0,,
TN-AA335,GTSAA,Critical,0,10-Dec-23,Sand Free,Shallow,SCON SacTi,1 week,0,17-Dec-23,,,,YES,,,SI,SIBU_due to no flow. Visited 14/12/2023. Nuflo display Erorr. Found seepage from rapture disc UMV (notif issue).,1378,0,,
TN-AA90.T1,GTSAA,Critical,103,24-Feb-19,Sand Free,Shallow,SCON,1 week,0,3-Mar-19,0,,Vonk DV,YES, , ,SI,SIBU_due to no flow. Fully shut in well. Visited 30/07/2023. NuFlo not accurate. Chart recorder is missing. WHCP instrumentation not completed (DHSV and master sigma N/A). Closed exit block due to DHSV leaking issue.,1736,0,,6.6
TN-AA92,GTSAA,Critical,64.6,5-Dec-19,Sand Free,Shallow,Sand trap ABC,1 week,0,12-Dec-19,0,31-Jan-15,Vonk Non DV,YES,,,SI,SIBU_due to no flow. Visited 08/03/2023. Well with sand trap ABC (Spiral tube removed). No internal vonk choke. Barton chart was missing.,976,0,,5.1
TN-AA96,GTSAA,Critical,74.8,29-May-17,,Shallow,OH-SAS,1 week,0,5-Jun-17,0,15-Mar-15,Vonk Non DV,YES,,,SI,Sand_due to sand sediment. Fully shut in well. Visited 02/10/2022. Flowline removed. ESD-3 cann't reset due to PSHH & PSLL flowline removed. Barton chart was missing.,926,0,,1.9
TN-AA217,GTSAA,Critical,28.9,8-Oct-23,Sand Free,Shallow,SCON SacTi,1 week,0,15-Oct-23,,,,YES,,,SI,SIBU_keep shut-in after pigging for offload via testing barge. Qgas = 2.2 MMscfd. Visited 26/12/2023. Nuflo OK. UMV hydraulic header using DHSV pump (jumper). Found Barton Chart at Well flowline is missing.,1534,0,,
TN-AA218,GTSAA,Critical,13.9,8-Oct-23,Sand Free,Shallow,SCON SacTi,1 week,0,15-Oct-23,,,,YES,,,SI,SIBU_keep shut-in after pigging for offload via testing barge. Qgas = 2.2 MMscfd. Visited 26/12/2023. Nuflo OK. UMV hydraulic header using DHSV pump (jumper). Found Barton Chart at Well flowline is missing.,1702,0,,
TN-AA243,GTSAA,Critical,69,13-Aug-23,Sand Free,Shallow,SCON SacTi,1 week,0,20-Aug-23,,,,YES,,,SI,"Wtest_S/I for rig down TBRG after Sand Free Rate program. Visited 21/08/2023. Barton chart was missing. PG top cap remains 200 psi when checked zero. Nuflo ok. Found Sand probe activated, Sand 100cc, WH body choke minor Defect, Internal Choke Major defect",1982,0,,
TN-AA244,GTSAA,Critical,0,12-Apr-23,Sand Free,Shallow,SCON SacTi,1 week,0,19-Apr-23,,,,YES,,,SI,SIBU_due to no flow. Visited 20/07/2023. Barton chart was missing.,1640,0,,
TN-AA303,GTSAA,Critical,0,7-Dec-23,Sand Free,Shallow,SCON SandTrap AB,1 week,0,14-Dec-23,,,,YES,,,SI,Offload_SI for rig down. Visited 16/12/2023.  Nuflo OK. Stranded Area (minimum tide 1.4/1.5m).,1791,0,,
TN-AA304,GTSAA,Critical,25,22-May-23,Sand Free,Shallow,SCON Sandtrap,1 week,0,29-May-23,,,,YES,,,SI,"SIBU_due to no flow. Visited 28/05/2023. Flowline pressure, Temperature and IncH20 at display nuflo not available. Nuflo OK.",,0,,
TN-F312,GTSF,Critical,100,29-Aug-23,Sand Free,Shallow,SCON SacTi,1 week,0,5-Sep-23,,,,YES,,,SI,Offload_rig down testing barge. Well kept SI due to weak flow. Well visited (04/01/2024). (Nuflo not Accurated). Bleed off line of annulus dedicated for each well to oil boom. #Ann A status open put on service. Set Point PSV 15.5 Barg (MAWOP 16 BarG).,1349,0,,
TN-F313,GTSF,Critical,92,26-Oct-23,Sand Free,Shallow,HESS Screen,1 week,0,2-Nov-23,,,,YES,,,SI,SIBU_No flow. Well visited (04/01/2024). NuFlo broken.,1779,0,,
TN-F314,GTSF,Critical,108,3-Oct-23,Sand Free,Shallow,HESS Screen,1 week,0,10-Oct-23,,,,YES,,,SI,Sand_Keep shut-in waiting for sand screen program. Well visited (04/01/2024). NuFlo not accurate.  PSV Ann#A set point 15.5 Bar. Bleed off line of annulus dedicated for each well to oil boom. Put on service PSV Annulus#A.,1375,0,,
TN-F342,GTSF,Critical,33,14-Nov-23,Sand Free,,SCON ST AB,1 week,0,21-Nov-23,,,,YES,,,SI,"SIBU_due to no flow. Well visited (29/12/2023). NuFlo OK. Choke indicator potentially drifting. SDV incoming passing, close SDV transit at adjecent in case depressurize GTS manifold.",,0,,
TN-F343,GTSF,Critical,29,30-Jun-23,Sand Free,,SCON ST AB,1 week,0,7-Jul-23,,,,YES,,,SI,"SIBU_due to no flow. Well visited (29/12/2023). Choke Indicator Potentially Drifting. NuFlo OK. SDV incoming passing, close SDV transit at adjecent in case depressurize GTS manifold.",,0,,
TN-AA336.T1,GTSAA,Critical,64,25-Dec-23,Sand Free,,SCON ST AB,1 week,0,1-Jan-24,,,,YES,,,SI,Visited 31/12/2023. Nuflo OK.,1436,0,,
TN-Ax127,GTSAx,Critical,0,16-Aug-18,,SU1,NO,1 week,0,23-Aug-18,0,8-Nov-12,Vonk DV,YES, , ,SI,SIBU_due to no flow. Well visited(16/01/2023). Depressurize line above DHSV until u/s production header prior GTS-Ax preservation.,3013,0,,1.7
TN-Ax128,GTSAx,Critical,0,4-Jun-17,,SU1,NO,1 week,0,11-Jun-17,0,24-Apr-13,Vonk,YES, , ,SI,SIBU_due to no flow. Fully Shut in verification. Well visited (18/09/2022). Depressurize line above DHSV until u/s production header prior GTS-Ax preservation.,2754,0,,0
TN-Ax44,GTSAx,Critical,156,21-Dec-19,Sand Free,SU1,NO,1 week,0,28-Dec-19,0,4-Nov-12,Vonk DV,YES, , ,SI,SIBU_due to no flow. Well visited (24/04/2023). Depressurize line above DHSV until u/s production header prior GTS-Ax preservation. Install dummy spool. Cpl.,3029,0,,0.1
TN-Ax460,GTSAx,Critical,113,27-May-18,,SU1,NO,1 week,0,3-Jun-18,0,24-May-15,Vonk,YES,,,SI,"SIBU_due to no flow. Well visited (24/04/2023). DHSV and SSV Master hydrolic pump broken. Depressurize well string from above DHSV to Flowline, cpl.",2874,0,,2
TN-Ax62,GTSAx,Critical,0,18-Feb-21,Sand Free,SU1,NO,1 week,0,25-Feb-21,0,28-Jun-11,Vonk Non DV,YES, , ,SI,SIBU_due to no flow. Well visited (20/09/2022). Remove internal Vonk choke 10mm NDV. Ball valve to test header passing. Depressurize line above DHSV until u/s production header prior GTS-Ax preservation.,2745,0,,0
TN-B105,GTSB,Critical,0,28-Mar-23,Sand Free,SU1,NO,1 week,0,4-Apr-23,0,6-Jun-12,Cameron Fixed,YES, , ,SI,Offload_SI for rig down after offload completed. Well visited (29/03/2023). Nuflo not accurate. Removed dial plate 8mm NDV used for TN-A79.,2742,0,,2.1
TN-B112,GTSB,Critical,0,3-Jun-18,,SU1,NO,1 week,0,10-Jun-18,0,31-Oct-13,Cameron Blind CC30,YES, , ,SI,SIBU_due to no flow. Well visited (18/12/2023). Fully shut in Well. manual WV stuck closed,2416,0,,1.5
TN-B115,GTSB,Critical,12,14-May-23,Sand Free,SU3,Sand trap ABC,1 week,0,21-May-23,0,24-Jan-15,Vonk Non DV,YES,,,SI, SIBU_due to no flow. Well visited (26/12/2023). Install bleed of line + PSV at Ann#B (PSV set point is 10 BarG). Flow to TMP-1.,1034,0,,1.7
TN-B134,GTSB,Critical,120,31-May-20,Sand Free,SU1,NO,1 week,0,7-Jun-20,0,1-Sep-13,Vonk DV,YES, , ,SI,"SIBU_due to no flow. Well visited (03/11/2023). Flowline corroded issue, do not POP all comm wells.",2823,0,,0
TN-B173,GTSB,Critical,80,20-Dec-23,Sand Free,Shallow,SCON SandTrap AB,1 week,0,27-Dec-23,,13-Oct-19,Masterflo P3,YES,,,SI,SIBU_due to no flow. Well visited (26/12/2023).  Ensure to wellbase before depressurized flowline due to PSLL interconection. Flow to TMP-1.,1288,0,,
TN-B175,GTSB,Critical,46,26-Jan-21,Sand Free,Shallow,Hanging Screen,1 week,0,2-Feb-21,,17-Aug-19,Masterflo P3,YES,,,SI,Sand_at surface and no flow. Well visited (18/12/2023). Hyd oil low level.DHSV & UMV pump broken,642,0,,
TN-B177,GTSB,Critical,32,22-Oct-23,Sand Free,Shallow,Sand trap ABC,1 week,0,29-Oct-23,,14-Oct-19,Masterflo P3,YES,,,SI,Offload_Rig down testing barge. Keep shut in d/t sandy. Well Visited (25/12/2023). UMV low performance (UMV Hyd supply jumper from DHSV pump).,1591,0,,
TN-B184,GTSB,Critical,69.5,4-Dec-23,Sand Free,Shallow,SCON SacTi,1 week,0,11-Dec-23,,,,YES,,,SI,SD3_Sand probe TN-B184 activated.  Well visited (06/12/2023). Nuflo ok. Flow to TMP-1.  Nozzle for internal part of WH Choke n/a.,1566,0,,
TN-B417,GTSB,Critical,58,30-Jul-22,Sand Free,SU1,SCON,1 week,0,6-Aug-22,0,11-Jan-14,Cameron Plug & Cage CC40,YES, , ,SI,Sand_high sand produced. Well visited (03/03/2023).Nuflo can not open(stuck).Pressure test after WH choke bonnet repair P= 56 Barg. Ensure to wellbase before deppressurized flowline due to PSLL interconection. Flow to TMP-1.,2891,0,,1.7
TN-B70,GTSB,Critical,12,25-May-17,,Shallow,SCON,1 week,0,1-Jun-17,0,6-May-10,Vonk DV,YES,YES, ,SI,"Data acq_PBMS completed waiting for next program. Well visited (11/10/2023). Fully shut in Well, No dial plate installed. DHSV indication leak at subsurface.",798,0,,1
TN-B83,GTSB,Critical,0,10-Nov-18,,Shallow,SCON,1 week,0,17-Nov-18,,3-Sep-16,Vonk DV,YES,,,SI,Plugged_Plug installed since 05 Oct 2021. Well visited (17/12/2023). Manual Wing Valve not leak test yet.,841,0,,
TN-B88,GTSB,Critical,10,25-Apr-23,Sand Free,Shallow,SCON,1 week,0,2-May-23,,8-Oct-18,Masterflo P3,YES,,,SI,SIBU_due to no flow. Well visited (07/12/2023). Flow to TMP-1.,701,0,,
TN-B89,GTSB,Critical,84,21-May-23,Sand Free,Shallow,SCON,1 week,0,28-May-23,,8-Oct-18,Masterflo P3,YES,,,SI,SIBU_due to no flow. Well visited (07/12/2023). NuFlo not accurate. Flow to TMP-1.  IG regulator for ESDV Outgoing broken',1139,0,,
TN-Bx116,GTSBx,Critical,0,24-Aug-23,Sand Free,Shallow,SCON,1 week,0,31-Aug-23,0,,FMC,, , ,SI,SIBU_due to no flow. Well visited (28/10/2023). FT Flowline not accurate. Install internal Vonk 10mm instead of 8mm. Clamp-on result : Good and no sand detection. Install bleed of line + PSV at Ann#B for SCP program. ( PSV set point is 10 BarG ).,3159,0,,0.1
TN-Bx35,GTSBx,Critical,173,22-Jun-18,,SU1,NO,1 week,0,29-Jun-18,0,4-Jun-16,Vonk DV,YES, , ,SI,High WGR well_as WPT request. Well visited (29/09/2023).  Found LMV is stuck open. Annulus A outer 1 is stuck open. Found manual wing valve stuck OPEN. Vonk choke no dial plate. Fully shut in Well. SOV for UMV pump stuck closed,2846,0,,0
TN-Bx60,GTSBx,Critical,40,19-Oct-18,,SU1,NO,1 week,0,26-Oct-18,0,24-Sep-16,Vonk DV,YES, , ,SI,"SIBU_due to no flow. Well visited (29/09/2023). LALL 100106 hydraulic for Master caniballized, Magenta Alarm on HMI. Need bypass LALL to POP.",2901,0,,0.1
TN-C101,GTSC,Critical,165.5,15-Nov-21,Sand Free,SU1,NO,1 week,0,22-Nov-21,0,12-Jul-16,Vonk Non DV,YES, , ,SI,"SIBU_due to no flow. Last visit on 01/08/2023. NuFlo not accurate. Second PSDV actuator N/A (used for PSDV line B). Ann#A PG N/A, Ann#C PG N/A, Ann#C tubing for PG detached, no dial plate & no Internal part of Vonk choke.",2444,0,,0.6
TN-C103,GTSC,Critical,151,13-Apr-18,,Main,NO,1 week,0,20-Apr-18,0,,Cameron Fixed,YES, , ,SI,Sand_due to sand producer. Last visit on 08/04/2023. 8'' Line to GTS keep depressurized due to thinning issue (Riser repair coating I/P).Troubleshooting PSDV-17B01 due to stuck open. Completed. Autochoke can't be operated automatically or manually. Hydaru,2447,0,,0
TN-C108.T1,GTSC,Critical,9,26-Mar-20,Sand Free,Intrabeta,SCON,1 week,0,2-Apr-20,0,,Vonk Non DV,YES, , ,SI,SIBU_due to no flow. Last visit on 08/04/2023. 8'' Line to GTS keep depressurized due to thinning issue (Riser repair coating I/P).Troubleshooting PSDV-17B01 due to stuck open. Completed.  Autochoke can't be operated automatically or manually. F/R Broken.,1554,0,,0
TN-C12,GTSC,Critical,38,10-Sep-19,Sand Free,SU1,NO,1 week,0,17-Sep-19,0,14-Feb-13,Vonk DV,YES, , ,SI,SIBU_no flow. Last visit on 18/12/2023. F/R Broken. Ann A vacuum & no PG. Ann B PG broken.,2729,0,,0.5
TN-C124,GTSC,Critical,13,4-Jun-23,Sand Free,Main,NO,1 week,0,11-Jun-23,0,21-Dec-12,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Last visit on 17/06/2023. Second PSDV actuator N/A (used for PSDV line B) Ann#A no PG. Found logic sand probe not connect to ESD 3. Flow to TMP-1.,2748,0,,0
TN-C126,GTSC,Critical,137,4-Jan-18,,SU1,NO,1 week,0,11-Jan-18,0,,Vonk DV,YES, , ,SI,SIBU_due to no flow. Fully shut-in well. Last visit on 17/06/2023. Manual wing Hard to operate. F/L Rec Broken. Depressurize flowline up to GTS due to thinning issue. Jumper line closed. Do not POP all wells. SDV Incoming stuck open 80 %.,2910,0,,0
TN-C131,GTSC,Critical,150,28-Mar-23,Sand Free,SU1,NO,1 week,0,4-Apr-23,0,23-May-13,Vonk DV,YES, ,PL,SI,SIBU_due to no flow. Last visit on 08/10/2023. PG Ann#C No acces.  Flow to TMP 1. wellhead choke stuck closed.,2775,0,,0.3
TN-C138,GTSC,Critical,150,16-Jan-19,Sand Free,SU1,NO,1 week,0,23-Jan-19,0,22-Oct-13,Vonk Non DV,YES, , ,SI,"SIBU_due to no flow.  Last visit on 14/10/2023. Second PSDV actuator N/A (used for PSDV line B) Ann#A PG N/A. Ann#B PG broken. No Dial Plate. Hydrolic pump N/A.  'Performed CC replacement, Leak test not performed due to internal DHSV & UMV Pump N/A , and",2565,0,,0
TN-C14,GTSC,Critical,177.4,9-Aug-23,Sand Free,SU1,NO,1 week,0,6-Sep-23,0,5-Dec-11,JVS Retrovit,YES, , ,SI,SIBU_due to no flow. Last visit on 07/11/2023. due to F/L Rec not available. Ann#A PG N/A.,2257,0,,0
TN-C16,GTSC,Critical,14.6,5-Jul-22,Sand Free,Intrabeta,SCON,1 week,0,12-Jul-22,0,5-Dec-11,Vonk DV,YES, , ,SI,SIBU_as per WPT request. Last visit on 14/03/2023. Skoflo N/A.,2321,0,,0.2
TN-C21,GTSC,Critical,73.4,31-Dec-17,,Shallow,NO,1 week,0,7-Jan-18,0,18-Feb-11,Cameron Blind CC40,YES, , ,SI,SIBU_due to no flow. Fully shut-in well.  Last visit on 13/03/2023. Ann#A no pg. instrumental package ESDV incoming not complete.,1430,0,,2.3
TN-AA515,GTSAA,Critical,0,19-Oct-23,Sand Free,,SCON SandTrap AB,1 week,0,14-Dec-23,,,,YES,,,SI,SIBU_due to no flow. Visited 19/10/2023. NuFlo OK. Qgas previous 1.2 MMscfd.,1377,0,,
TN-C23,GTSC,Critical,70,19-Aug-21,Sand Free,Shallow,Sand trap ABC,1 week,0,26-Aug-21,0,22-Dec-12,Vonk Non DV,YES, , ,SI,SIBU_due to no flow. Last visit on 03/12/2023.  Ann#C no PG. Vonk choke no dial plate.,1500,0,,1.2
TN-C31,GTSC,Critical,35,30-Dec-19,Sand Free,SU1,Hanging Screen,1 week,0,6-Jan-20,0,14-Nov-12,Vonk Non DV,YES, , ,SI,SIBU_due to no flow. Last visit on 23/12/2023. Oscilamatic broken. Remove vonk choke internal parts (to be installed at TN-S176). Vonk no internal part. Perform FT (Result good).,2348,0,,0
TN-C441,GTSC,Critical,114,5-Dec-23,Sand Free,SU1,HESS Screen,1 week,0,30-Jan-24,0,13-Jul-13,Masterflo P3,, , ,SI,SIBU_due to no flow. Last visit on 22/12/2023. Qgas from NuFlo. CI instrumentation not complete. Flow to TMP-1.,2625,0,,0
TN-C50,GTSC,Critical,60.2,6-Apr-22,Sand Free,Shallow,GP,1 week,0,13-Apr-22,0,12-Dec-10,Vonk DV,YES, , ,SI,"Found sand 200 cc, SP active",702,0,,0.1
TN-C68,GTSC,Critical,99,18-Apr-23,Sand Free,Shallow,SCON,1 week,0,25-Apr-23,0,28-Oct-18,Masterflo P3,YES,,,SI,SIBU_due to no flow. Last visit on 05/11/2023. NuFlo OK (Nuflo Takes 5 to 10 Minutes to calculate). Flow to TMP-1. DHSV jumper from UMV supply. Depressurize flowline up to GTS due to thinning issue. Jumper line closed. Do not POP all wells. SDV Incoming s,1268,0,,
TN-C70,GTSC,Critical,40,12-Jan-19,Sand Free,Shallow,NO,1 week,0,19-Jan-19,,28-Oct-18,Vonk DV,YES,,,SI,SIBU_due to no flow. Last visit on 08/11/2023. Skoflo removed for TN-B85. Choke has no internal part. Depressurize flowline up to GTS due to thinning issue. Jumper line closed. Do not POP all wells. SDV Incoming stuck open 80 %.,752,0,,
